,seed,actions
0,3592570000,"[1, 2, 1, 0, 3, 0, 2, 2, 1, 3, 1, 1, 0, 1, 2, 1, 3, 2, 0, 3, 0, 0, 2, 1, 0, 3, 1, 1, 1, 3, 3, 3]"
1,3592570001,"[3, 2, 2, 0, 3, 0, 3, 0, 0, 1, 1, 3, 1, 1, 2, 0, 1, 2, 2, 0, 3, 0, 0, 3, 3, 0, 0, 2, 3, 1, 2, 1, 3, 1, 1, 2, 0, 0, 1, 0, 3, 0, 0, 2, 1, 0, 3, 1, 1, 2, 1, 0, 3, 0, 0, 2, 1, 2, 1, 1, 1, 0, 3, 0, 3, 1, 1, 2, 1, 2, 2, 2]"
2,3592570002,"[3, 0, 3, 2, 1, 3, 0, 3, 3, 1, 3, 0, 2, 2, 2, 1, 3, 2, 0, 3, 3, 3, 0]"
3,3592570003,"[1, 2, 1, 2, 1, 0, 3, 0, 2, 1, 2, 1, 0, 3, 0, 3, 0, 2, 2, 1, 3, 2, 0, 3, 3, 1, 3, 1, 2, 2, 1, 2, 2, 0, 1, 3, 0, 1, 0, 3, 0, 3, 0, 2, 2, 2, 1, 3, 1, 1, 2, 0, 3, 1, 3, 0, 3, 0, 2, 1, 0, 3, 0, 2, 2, 1, 3, 2, 0, 3, 3, 1, 3, 1, 2, 2, 1, 2, 2, 0, 3, 1, 0, 0, 3, 3, 0, 2, 2, 2, 1, 3, 1, 1, 3, 0, 2, 1, 3, 0, 3, 3, 0, 0, 2, 2, 1, 2, 1, 1, 2, 0, 3, 1, 3, 0, 2, 1, 3, 0, 3, 3, 0, 0, 2, 2, 2, 2, 1, 3, 3, 2, 1, 1, 2, 0, 3, 1, 3, 0, 0, 2, 0, 3, 3, 3, 1, 2, 0, 2, 1, 2, 1, 3]"
4,3592570004,"[2, 3, 1, 1, 2, 0, 3, 2, 2, 1, 1, 2, 2, 0, 3, 2, 1, 3, 0, 0, 3, 3, 0, 1, 0, 3, 1, 1, 2, 1, 2, 0, 1, 3, 0, 3, 0, 2, 0, 3, 0, 0, 2, 1, 3, 1, 1, 2, 1, 1, 2, 2, 0, 0, 3, 3, 0, 3, 1, 2, 0, 3, 0, 0, 2, 1, 3, 1, 1, 2, 2, 2, 1, 2, 1, 3, 3, 3, 3, 0, 0, 0, 0, 2, 1, 3, 1, 2, 0, 1, 3, 1, 2, 1, 2, 2, 0, 0, 3, 2, 3, 1, 1, 3, 0, 3, 0, 0, 2, 1, 1, 3, 1, 2, 2]"
5,3592570005,"[1, 3, 1, 0, 2, 1, 3, 1, 0, 2, 1]"
6,3592570006,"[3, 2, 1, 3, 3]"
7,3592570007,"[2, 0, 3, 1, 3, 3, 3, 0, 0, 0, 1, 0, 3, 0, 0, 2, 2, 1, 1, 1, 1, 1, 2, 2, 0, 3, 2, 1, 3, 3, 3, 0, 0, 0, 0, 1, 1, 1, 1, 2, 0, 1, 3, 0, 0, 0, 3, 0, 2, 2, 0, 3, 1, 1, 1, 1, 2, 0, 0, 3, 3, 0, 2, 0, 2, 1, 1, 1, 3, 1, 1, 2, 2, 0, 3, 0, 1, 1, 3, 0, 0, 0, 1, 0, 2, 0, 0, 3, 1, 1, 1, 0, 1, 2, 1, 1, 3, 3, 0, 2, 2, 2]"
8,3592570008,"[2, 2, 0, 3, 0, 3, 0, 2, 2, 0, 0, 3, 1, 0, 1, 2, 1, 1, 1, 3, 1, 3, 0, 2, 1, 2, 0, 0, 0, 0, 3, 1, 3, 1, 0, 2, 1, 3, 0, 2, 1, 2, 1, 1, 3, 3, 0, 1, 2, 0, 1, 2, 0, 0, 0, 3, 1, 2, 0, 3, 3, 3, 1, 2, 1, 0, 0, 2, 0, 0, 2, 1, 1, 1, 1, 3, 1, 2, 0, 0, 3, 1, 1, 2, 0, 0, 0, 3, 3, 3, 1, 2, 1]"
9,3592570009,"[3, 0, 1, 0, 3, 0, 0, 2, 1, 2, 3, 1, 3, 2, 0, 2, 2]"
10,3592570010,"[2, 0, 2, 2, 1, 2, 0, 1, 2, 0, 3, 3, 3, 3, 1, 2]"
11,3592570011,"[3, 0, 1, 2, 1, 1, 3, 0, 3, 0, 1, 2, 1, 2, 0, 0, 0, 3, 1, 0, 3, 1, 2, 0, 2, 1, 1, 1, 3, 0, 1, 0, 3, 0, 0, 2, 1, 1]"
12,3592570012,"[0, 0, 3, 0, 3, 3, 1, 2, 0, 2, 2, 1, 3, 1, 0, 1, 2, 0, 0, 3, 3, 3, 1, 2, 0, 2, 2, 1, 1, 3, 1, 0, 1, 2, 0, 0, 0, 3, 1, 3, 2, 0, 2, 1, 1, 1, 1, 3, 1, 2, 0, 3, 0, 2, 0, 0, 3, 1, 1]"
13,3592570013,"[2, 1, 3, 1, 1, 1, 2, 2, 0, 3, 0, 3, 1, 0, 0, 0, 2, 1, 3, 1, 1, 2, 1, 2, 0, 0, 3, 0, 1, 2, 1, 1, 3, 0, 3, 0, 0]"
14,3592570014,"[3, 1, 0, 1, 2, 0, 0, 0, 3, 1, 0, 1, 2, 1, 1, 1, 3, 1, 2, 0, 3, 0, 2, 0, 0, 3, 1, 3, 2, 0, 0, 2, 1, 1, 1, 1, 3, 3, 2, 1, 2, 0, 0, 0, 3, 1, 1, 2, 3, 3, 1, 2]"
15,3592570015,"[1, 2, 2, 0, 2, 1, 2, 0, 0, 3, 0, 0, 3, 1, 1, 0, 2, 1, 1, 1, 3, 3, 3, 0, 0, 2, 3, 2, 1, 1, 2, 2, 0, 3, 2, 1, 2, 0, 0, 3, 0, 3, 1, 3, 1, 0, 2, 0, 2, 1, 1, 3, 2, 1, 2, 0, 0, 3, 3, 3, 3, 1, 1, 2, 3, 0, 0, 2, 2, 1, 3]"
